"FID_","ID","NAME","X","Y"
,1,"W511",116.573850,40.100208
,2,"W510",116.574395,40.100270
,3,"W509",116.574940,40.100332
,4,"W508",116.575485,40.100393
,5,"W505",116.575402,40.099520
,6,"W506",116.574723,40.099438
,7,"W507",116.574045,40.099356
,8,"W501",116.575730,40.098842
,9,"W502",116.575187,40.098798
,10,"W503",116.574644,40.098754
,11,"W504",116.574101,40.098709
,12,"W113",116.580315,40.091792
,13,"W112",116.579319,40.091701
,14,"W111",116.578323,40.091611
,15,"W110",116.577328,40.091520
,16,"W109",116.576332,40.091430
,17,"W108",116.575336,40.091340
,18,"W103",116.580364,40.090402
,19,"W104",116.579202,40.090280
,20,"W105",116.578041,40.090159
,21,"W106",116.576879,40.090038
,22,"W107",116.575717,40.089917
,23,"817",116.577088,40.082420
,24,"816",116.577715,40.082478
,25,"812",116.581099,40.084796
,26,"813",116.579782,40.084690
,27,"811",116.582234,40.084910
,28,"810",116.583071,40.084997
,29,"809",116.583908,40.085085
,30,"808",116.584746,40.085172
,31,"801",116.590420,40.085771
,32,"802",116.589729,40.085695
,33,"803",116.589038,40.085619
,34,"804",116.588346,40.085543
,35,"807",116.586273,40.085315
,36,"806",116.586964,40.085391
,37,"805",116.587655,40.085467
,38,"116",116.580365,40.080433
,39,"115",116.579970,40.080554
,40,"114",116.579716,40.080831
,41,"113",116.579640,40.081244
,42,"A113",116.579779,40.081607
,43,"112",116.580150,40.081810
,44,"111",116.580569,40.081798
,45,"110",116.580976,40.081745
,46,"108",116.582641,40.081542
,47,"107",116.582819,40.081975
,48,"106",116.583307,40.082099
,49,"A106",116.583808,40.082027
,50,"105",116.584119,40.081654
,51,"104",116.584141,40.081169
,52,"103",116.583760,40.080905
,53,"239",116.586442,40.080958
,54,"238",116.585711,40.081163
,55,"237",116.585482,40.081870
,56,"236",116.586022,40.082600
,57,"235",116.586495,40.082655
,58,"234",116.586968,40.082711
,59,"233",116.587441,40.082766
,60,"232",116.587914,40.082822
,61,"231",116.588387,40.082877
,62,"230",116.588860,40.082933
,63,"229",116.589333,40.082988
,64,"229",116.589806,40.083044
,65,"228",116.590279,40.083099
,66,"227",116.590698,40.082992
,67,"226",116.591044,40.082665
,68,"224",116.589567,40.080820
,69,"223",116.589670,40.080063
,70,"222",116.589774,40.079306
,71,"221",116.589878,40.078550
,72,"220",116.589981,40.077793
,73,"219",116.590085,40.077036
,74,"218",116.590439,40.076807
,75,"217",116.591269,40.076882
,76,"216",116.591986,40.076544
,77,"215",116.592131,40.075781
,78,"214",116.591644,40.075169
,79,"213",116.590840,40.075019
,80,"212",116.590012,40.074922
,81,"211",116.589184,40.074824
,82,"210",116.588356,40.074727
,83,"209",116.587529,40.074630
,84,"208",116.586798,40.074797
,85,"207",116.586369,40.075469
,86,"206",116.586302,40.076300
,87,"205",116.587106,40.076413
,88,"261",116.585430,40.076103
,89,"262",116.584845,40.076044
,90,"251",116.585648,40.074327
,91,"252",116.585051,40.074279
,92,"253",116.584453,40.074231
,93,"254",116.583856,40.074182
,94,"265",116.585412,40.074998
,95,"266",116.584660,40.074947
,96,"267",116.583908,40.074896
,97,"W202",116.577802,40.078796
,98,"W204",116.577933,40.077931
,99,"W201",116.576922,40.078926
,100,"W203",116.577003,40.078273
,101,"W205",116.577085,40.077620
,102,"W201",116.576534,40.076154
,103,"W212",116.576623,40.075475
,104,"W213",116.576713,40.074795
,105,"W214",116.576802,40.074115
,106,"W207",116.579072,40.076139
,107,"W209",116.579224,40.075139
,108,"W208",116.578678,40.076097
,109,"W210",116.578833,40.075079
,110,"641",116.593625,40.057268
,111,"642",116.593311,40.057239
,112,"643",116.592997,40.057210
,113,"644",116.592683,40.057181
,114,"645",116.592369,40.057151
,115,"731",116.589841,40.072335
,116,"733",116.589950,40.071620
,117,"735",116.590059,40.070905
,118,"732",116.590512,40.072148
,119,"734",116.590640,40.071145
,120,"722",116.591320,40.072345
,121,"724",116.591454,40.071456
,122,"726",116.591588,40.070566
,123,"728",116.591721,40.069677
,124,"721",116.591877,40.072532
,125,"723",116.592000,40.071797
,126,"725",116.592123,40.071061
,127,"727",116.592245,40.070325
,128,"729",116.592368,40.069590
,129,"701",116.592798,40.072495
,130,"702",116.592955,40.071623
,131,"703",116.593113,40.070750
,132,"704",116.593269,40.069877
,133,"705",116.593581,40.068086
,134,"706",116.593734,40.067150
,135,"707",116.593888,40.066215
,136,"708",116.594042,40.065279
,137,"709",116.594196,40.064343
,138,"710",116.594396,40.063003
,139,"632",116.593568,40.052081
,140,"631",116.594154,40.052137
