"FID_","ID","X","Y"
,1,116.569696,40.102035
,1,116.574085,40.073991
,2,116.569801,40.101360
,2,116.569817,40.101545
,2,116.569864,40.101670
,2,116.569968,40.101795
,2,116.570081,40.101878
,2,116.570247,40.101968
,2,116.570412,40.102017
,2,116.570686,40.102053
,2,116.570938,40.102051
,2,116.571158,40.101996
,2,116.571352,40.101898
,2,116.571580,40.101738
,2,116.571700,40.101626
,2,116.571825,40.101476
,2,116.571956,40.101262
,2,116.572007,40.101138
,2,116.572062,40.100954
,2,116.576313,40.073832
,2,116.576414,40.073600
,2,116.576556,40.073458
,2,116.576733,40.073353
,2,116.576972,40.073274
,3,116.569926,40.100561
,3,116.569961,40.100475
,3,116.570012,40.100397
,3,116.570096,40.100320
,3,116.570177,40.100263
,3,116.570293,40.100207
,3,116.570414,40.100171
,3,116.570622,40.100155
,3,116.571689,40.100250
,3,116.571799,40.100278
,3,116.571887,40.100322
,3,116.571980,40.100389
,3,116.572070,40.100496
,3,116.572107,40.100661
,4,116.572216,40.099954
,4,116.572156,40.100084
,4,116.572063,40.100149
,4,116.571934,40.100206
,4,116.571795,40.100243
,4,116.571689,40.100250
,5,116.570622,40.100155
,5,116.570421,40.100095
,5,116.570331,40.100040
,5,116.570256,40.099994
,5,116.570176,40.099910
,5,116.570111,40.099804
,5,116.570068,40.099656
,6,116.572730,40.096675
,6,116.572634,40.096823
,6,116.572560,40.096884
,6,116.572452,40.096940
,6,116.572358,40.096970
,6,116.572254,40.096985
,6,116.572071,40.096970
,6,116.571947,40.096933
,6,116.571839,40.096859
,6,116.571745,40.096770
,6,116.571318,40.095916
,6,116.571211,40.095654
,6,116.571126,40.095393
,6,116.571062,40.095142
,6,116.571013,40.094891
,6,116.570973,40.094541
,6,116.570948,40.094033
,7,116.573293,40.093086
,7,116.573236,40.093212
,7,116.573156,40.093290
,7,116.573083,40.093345
,7,116.572936,40.093400
,7,116.572812,40.093415
,7,116.572694,40.093414
,7,116.572581,40.093390
,7,116.572485,40.093351
,7,116.572403,40.093297
,7,116.572310,40.093195
,7,116.572222,40.093034
,7,116.571774,40.092082
,7,116.571601,40.091484
,7,116.571489,40.090579
,8,116.571657,40.089503
,8,116.571923,40.088795
,8,116.572214,40.088260
,8,116.572606,40.087737
,8,116.573382,40.086902
,8,116.574130,40.086067
,8,116.574468,40.085598
,9,116.573701,40.090489
,9,116.573632,40.090045
,9,116.573521,40.089722
,9,116.573028,40.088748
,9,116.572550,40.087787
,9,116.572413,40.087445
,9,116.572278,40.086893
,9,116.572215,40.085944
,10,116.573973,40.088754
,10,116.573697,40.088898
,10,116.573504,40.088943
,10,116.573393,40.088932
,10,116.573199,40.088880
,10,116.573028,40.088748
,11,116.573504,40.088943
,11,116.573935,40.088995
,12,116.574206,40.087266
,12,116.574160,40.087076
,12,116.574058,40.086974
,12,116.573890,40.086899
,12,116.573718,40.086868
,12,116.573449,40.086904
,12,116.573286,40.087005
,13,116.572339,40.085146
,13,116.572634,40.084386
,13,116.572849,40.083985
,13,116.573280,40.083356
,13,116.574893,40.081704
,13,116.575097,40.081584
,14,116.573656,40.082971
,14,116.573865,40.082884
,14,116.574066,40.082848
,14,116.574888,40.082916
,15,116.572934,40.081350
,15,116.573256,40.080589
,15,116.573616,40.080020
,15,116.575455,40.077938
,15,116.575754,40.077397
,16,116.574562,40.078949
,16,116.574723,40.078841
,16,116.574905,40.078798
,16,116.575080,40.078816
,16,116.575299,40.078902
,16,116.575435,40.079056
,16,116.575475,40.079172
,17,116.573775,40.075972
,17,116.573890,40.075709
,17,116.574003,40.075607
,17,116.574205,40.075504
,17,116.574491,40.075460
,17,116.575598,40.075556
,17,116.575719,40.075600
,17,116.575851,40.075680
,17,116.575946,40.075797
,17,116.575973,40.076003
,18,116.576088,40.075263
,18,116.575990,40.075409
,18,116.575873,40.075490
,18,116.575690,40.075545
,18,116.575598,40.075556
,19,116.574491,40.075460
,19,116.574252,40.075387
,19,116.574106,40.075284
,19,116.574021,40.075167
,19,116.573970,40.075050
,19,116.573944,40.074897
,20,116.574085,40.073991
,20,116.574190,40.073801
,20,116.574357,40.073660
,20,116.574466,40.073615
,20,116.574731,40.073532
,20,116.576972,40.073274
,20,116.581414,40.073660
,20,116.583316,40.073874
,21,116.573701,40.090489
,21,116.581397,40.091269
,22,116.573935,40.088995
,22,116.582486,40.089794
,22,116.589624,40.090461
,23,116.612145,40.093937
,23,116.617635,40.058512
,24,116.617409,40.059974
,24,116.617387,40.059810
,24,116.617326,40.059698
,24,116.617229,40.059609
,24,116.617098,40.059549
,24,116.616970,40.059490
,24,116.612247,40.059046
,25,116.617502,40.059374
,25,116.617383,40.059091
,25,116.617244,40.058872
,25,116.617060,40.058708
,25,116.616836,40.058578
,25,116.612393,40.058172
,26,116.607186,40.104469
,26,116.608645,40.094781
,27,116.608645,40.094781
,27,116.608575,40.094439
,27,116.611718,40.073861
,27,116.612545,40.068732
,27,116.613347,40.063567
,28,116.608823,40.092817
,28,116.611242,40.093059
,28,116.611404,40.093025
,28,116.611608,40.092929
,28,116.612384,40.092394
,29,116.612478,40.091786
,29,116.612399,40.091943
,29,116.612307,40.092018
,29,116.612153,40.092093
,29,116.612012,40.092122
,29,116.611930,40.092139
,29,116.608969,40.091857
,30,116.612691,40.090412
,30,116.610356,40.090178
,31,116.610356,40.090178
,31,116.609240,40.090085
,32,116.610079,40.091962
,32,116.611179,40.085246
,32,116.611455,40.084878
,32,116.611899,40.084332
,32,116.613214,40.083074
,32,116.613606,40.082536
,32,116.614093,40.081368
,33,116.611179,40.085246
,33,116.614503,40.063671
,33,116.615148,40.059318
,34,116.615852,40.070017
,34,116.613571,40.069723
,35,116.615864,40.069942
,35,116.615521,40.068902
,35,116.614794,40.067505
,35,116.614689,40.067385
,35,116.614498,40.067254
,35,116.614327,40.067182
,35,116.613973,40.067111
,36,116.612805,40.074693
,36,116.613481,40.074763
,36,116.613704,40.074703
,36,116.613867,40.074600
,36,116.614674,40.073725
,36,116.615034,40.073236
,36,116.615271,40.072799
,36,116.615422,40.072421
,36,116.615533,40.072078
,37,116.615162,40.074470
,37,116.615147,40.073971
,37,116.615089,40.073615
,37,116.615028,40.073246
,38,116.615028,40.073246
,38,116.614163,40.071553
,38,116.614003,40.071396
,38,116.613866,40.071314
,38,116.613679,40.071279
,38,116.613335,40.071255
,39,116.612044,40.079633
,39,116.612613,40.079661
,39,116.612889,40.079628
,39,116.613069,40.079540
,39,116.613697,40.078879
,39,116.614237,40.078171
,39,116.614471,40.077799
,39,116.614647,40.077351
,39,116.614769,40.077039
,40,116.614384,40.079489
,40,116.614391,40.079013
,40,116.614341,40.078623
,40,116.614261,40.078293
,40,116.614232,40.078167
,41,116.614232,40.078167
,41,116.614124,40.077824
,41,116.613822,40.077238
,41,116.613500,40.076732
,41,116.613312,40.076506
,41,116.613127,40.076431
,41,116.612982,40.076371
,41,116.612738,40.076372
,41,116.612513,40.076591
,42,116.611143,40.077621
,42,116.609702,40.076562
,42,116.609169,40.076005
,42,116.608992,40.075437
,42,116.608992,40.074904
,42,116.610729,40.063333
,43,116.594842,40.089407
,43,116.600153,40.055441
,44,116.574059,40.088203
,44,116.576253,40.088477
,44,116.580803,40.088880
,44,116.589877,40.089777
,44,116.593095,40.089890
,44,116.593494,40.089806
,44,116.593792,40.089675
,44,116.594198,40.089419
,44,116.594665,40.089123
,44,116.594824,40.088960
,44,116.594952,40.088702
,45,116.580821,40.088910
,45,116.581503,40.084344
,46,116.589624,40.090461
,46,116.589760,40.090516
,46,116.589870,40.090611
,46,116.589939,40.090761
,46,116.589617,40.093142
,46,116.589036,40.096596
,46,116.588312,40.101170
,47,116.589805,40.091627
,47,116.589852,40.091818
,47,116.589974,40.091977
,47,116.590211,40.092066
,47,116.590406,40.092093
,47,116.591504,40.092188
,47,116.591757,40.092151
,47,116.591948,40.092050
,47,116.592053,40.091897
,47,116.592354,40.090109
,47,116.592327,40.089977
,47,116.592207,40.089859
,48,116.590406,40.092093
,48,116.590596,40.092056
,48,116.590765,40.091971
,48,116.590933,40.091791
,49,116.589596,40.100671
,49,116.590879,40.092133
,50,116.590879,40.092133
,50,116.591187,40.090167
,50,116.591290,40.090028
,50,116.591460,40.089906
,50,116.591621,40.089838
,51,116.591417,40.092180
,51,116.591221,40.092118
,51,116.591116,40.092052
,51,116.591039,40.091963
,51,116.590967,40.091881
,51,116.590936,40.091770
,52,116.589049,40.096510
,52,116.589098,40.096397
,52,116.589183,40.096302
,52,116.589291,40.096227
,52,116.589443,40.096176
,52,116.589613,40.096155
,52,116.589796,40.096181
,52,116.589958,40.096250
,52,116.590087,40.096364
,52,116.590159,40.096490
,52,116.590190,40.096594
,53,116.590308,40.095826
,53,116.590216,40.095967
,53,116.590121,40.096055
,53,116.590009,40.096122
,53,116.589911,40.096150
,53,116.589772,40.096177
,54,116.589613,40.096155
,54,116.589492,40.096127
,54,116.589372,40.096070
,54,116.589304,40.096010
,54,116.589234,40.095920
,54,116.589189,40.095830
,54,116.589169,40.095739
,55,116.580610,40.091189
,55,116.580821,40.088910
,56,116.589702,40.099969
,56,116.589584,40.100091
,56,116.589523,40.100154
,56,116.589442,40.100214
,56,116.589343,40.100262
,56,116.589133,40.100316
,56,116.589059,40.100316
,57,116.589680,40.100112
,57,116.589749,40.100219
,57,116.589851,40.100312
,57,116.590020,40.100393
,57,116.590124,40.100411
,58,116.588469,40.100258
,58,116.589059,40.100316
,58,116.590124,40.100411
,58,116.591461,40.100546
,58,116.597569,40.101076
,59,116.588312,40.101170
,59,116.597421,40.101981
,60,116.590015,40.101322
,60,116.589721,40.101187
,60,116.589604,40.101075
,60,116.589564,40.100993
,60,116.589549,40.100884
,60,116.589556,40.100788
,60,116.589596,40.100671
,60,116.589681,40.100573
,60,116.589848,40.100464
,60,116.590124,40.100411
,61,116.589549,40.100884
,61,116.589439,40.101059
,61,116.589333,40.101139
,61,116.589139,40.101203
,61,116.588971,40.101229
,62,116.589596,40.100671
,62,116.589506,40.100531
,62,116.589357,40.100400
,62,116.589201,40.100329
,63,116.591191,40.090167
,63,116.590955,40.089884
,63,116.590783,40.089643
,63,116.590719,40.089458
,63,116.591858,40.081875
,63,116.593133,40.074195
,63,116.593168,40.073995
,64,116.591621,40.089838
,64,116.591769,40.089727
,64,116.591881,40.089593
,64,116.591967,40.089018
,64,116.592936,40.082627
,64,116.594278,40.074150
,65,116.590944,40.087958
,65,116.592112,40.088065
,66,116.592112,40.088065
,66,116.595005,40.088364
,67,116.590898,40.088268
,67,116.590957,40.088153
,67,116.591022,40.088096
,67,116.591102,40.088054
,67,116.591217,40.088013
,67,116.591379,40.087998
,68,116.591342,40.087994
,68,116.591217,40.087963
,68,116.591120,40.087899
,68,116.591073,40.087856
,68,116.591007,40.087796
,68,116.590978,40.087733
,69,116.592057,40.088427
,69,116.592040,40.088285
,69,116.591982,40.088187
,69,116.591891,40.088106
,69,116.591747,40.088047
,69,116.591639,40.088022
,70,116.591719,40.088029
,70,116.591862,40.088007
,70,116.591969,40.087961
,70,116.592113,40.087848
