"FID_","ID","NAME","X","Y"
,1,"01",116.390573,39.794400
,2,"02",116.390606,39.793960
,3,"03",116.390648,39.793515
,4,"04",116.390696,39.793060
,5,"05",116.390725,39.792604
,6,"06",116.390758,39.792150
,7,"07",116.389519,39.782612
,8,"08",116.389524,39.782169
,9,"09",116.389552,39.781719
,10,"10",116.389589,39.781270
,11,"11",116.389617,39.780821
,12,"12",116.389633,39.780365
,13,"13",116.389666,39.779916
,14,"14",116.389688,39.779461
,15,"15",116.389732,39.779010
,16,"16",116.389759,39.778564
,17,"17",116.389781,39.778111
,18,"18",116.389825,39.777654
,19,"19",116.389852,39.777212
,20,"20",116.389895,39.776764
,21,"21",116.390114,39.776261
,22,"22",116.390131,39.775631
,23,"23",116.390184,39.774996
,24,"24",116.390262,39.774371
,25,"25",116.390065,39.773655
,26,"26",116.390098,39.773078
,27,"27",116.390155,39.772497
,28,"28",116.390179,39.771923
,29,"29",116.390237,39.771345
,30,"30",116.390303,39.770777
,31,"31",116.390348,39.770194
,32,"32",116.390385,39.769658
,33,"33",116.390389,39.769493
