"FID_","ID","NAME","X","Y"
,1,"FX-D",113.324443,23.405926
,2,"FX-C",113.324760,23.405845
,3,"FX-B",113.325077,23.405765
,4,"FX-A",113.325394,23.405685
,5,"FX02",113.321815,23.405815
,6,"FX04",113.321675,23.405279
,7,"FX06",113.321535,23.404744
,8,"FX08",113.321395,23.404209
,9,"FX10",113.321254,23.403674
,10,"FX12",113.321114,23.403138
,11,"FX14",113.320974,23.402603
,12,"FX01",113.323239,23.405665
,13,"FX03",113.323091,23.405142
,14,"FX05",113.322949,23.404606
,15,"FX07",113.322786,23.404062
,16,"FX09",113.322633,23.403517
,17,"FX11",113.322453,23.402878
,18,"FX15",113.322317,23.402081
,19,"FX16",113.320518,23.400882
,20,"FX18",113.320368,23.400349
,21,"FX20",113.320219,23.399816
,22,"FX22",113.320072,23.399310
,23,"FX24",113.319928,23.398777
,24,"FX26",113.319773,23.398235
,25,"FX28",113.319621,23.397684
,26,"FX17",113.322043,23.401279
,27,"FX17",113.321823,23.400348
,28,"FX19",113.321627,23.399564
,29,"FX21",113.321425,23.398799
,30,"FX23",113.321196,23.397951
,31,"GY07",113.303605,23.395504
,32,"GY08",113.304009,23.395412
,33,"GY09",113.304383,23.395326
,34,"GY10",113.304761,23.395235
,35,"GY11",113.305153,23.395143
,36,"GY12",113.305517,23.395057
,37,"140",113.304943,23.393612
,38,"135",113.302574,23.393497
,39,"139",113.304147,23.393132
,40,"136",113.302959,23.393406
,41,"137",113.303357,23.393318
,42,"138",113.303743,23.393228
,43,"133",113.302774,23.392573
,44,"132",113.303326,23.392448
,45,"131",113.303878,23.392322
,46,"130",113.304655,23.391724
,47,"128",113.304351,23.390448
,48,"124",113.301989,23.390843
,49,"125",113.302481,23.390731
,50,"126",113.303100,23.390586
,51,"127",113.303467,23.390508
,52,"123",113.301401,23.389576
,53,"119",113.303264,23.388653
,54,"120",113.302681,23.388933
,55,"121",113.302188,23.389175
,56,"122",113.301766,23.389389
,57,"118",113.303782,23.387878
,58,"117",113.303337,23.386593
,59,"113",113.300568,23.387677
,60,"114",113.301085,23.387427
,61,"115",113.301586,23.387183
,62,"116",113.302176,23.386892
,63,"112",113.300372,23.386517
,64,"111",113.300745,23.386109
,65,"110",113.300919,23.385445
,66,"107",113.302263,23.383767
,67,"109",113.301323,23.384940
,68,"108",113.301723,23.384428
,69,"106",113.302099,23.382678
,70,"101",113.298923,23.384468
,71,"102",113.299331,23.384179
,72,"103",113.299719,23.383701
,73,"104",113.300205,23.383155
,74,"105",113.300762,23.382473
,75,"301",113.298086,23.382783
,76,"302",113.298437,23.382369
,77,"303",113.298789,23.381955
,78,"304",113.299140,23.381541
,79,"305",113.299491,23.381128
,80,"306",113.299975,23.380576
,81,"307",113.300686,23.380431
,82,"308",113.301397,23.380286
,83,"411",113.289515,23.382543
,84,"412",113.289803,23.382483
,85,"413",113.290091,23.382411
,86,"414",113.290379,23.382352
,87,"415",113.290655,23.382297
,88,"416",113.290952,23.382230
,89,"417",113.291226,23.382171
,90,"418",113.291509,23.382112
,91,"418",113.291790,23.382042
,92,"419",113.292183,23.381981
,93,"420",113.292617,23.381882
,94,"421",113.293023,23.381777
,95,"422",113.293431,23.381682
,96,"423",113.293841,23.381576
,97,"424",113.292742,23.382602
,98,"425",113.293009,23.382712
,99,"426",113.293277,23.382822
,100,"427",113.293544,23.382931
,101,"428",113.293812,23.383041
,102,"429",113.294079,23.383151
,103,"410",113.289915,23.383554
,104,"409",113.290311,23.383460
,105,"408",113.290706,23.383366
,106,"407",113.291102,23.383273
,107,"406",113.291497,23.383179
,108,"405",113.292099,23.383281
,109,"404",113.292398,23.383395
,110,"403",113.292780,23.383728
,111,"402",113.293368,23.383907
,112,"401",113.294172,23.384210
,113,"201",113.294257,23.385677
,114,"203",113.293074,23.385289
,115,"204",113.292411,23.385001
,116,"202",113.293676,23.385528
,117,"205",113.291544,23.384686
,118,"206",113.290521,23.385063
,119,"207",113.290573,23.386222
,120,"208",113.291402,23.386554
,121,"209",113.291922,23.386764
,122,"210",113.292443,23.386975
,123,"211",113.292964,23.387185
,124,"212",113.293485,23.387395
,125,"213",113.294005,23.387606
,126,"214",113.294330,23.389230
,127,"215",113.293790,23.389239
,128,"216",113.293250,23.389248
,129,"217",113.292709,23.389257
,130,"218",113.291599,23.389542
,131,"219",113.291596,23.390345
,132,"220",113.292234,23.390908
,133,"221",113.292941,23.390906
,134,"223",113.294354,23.390902
,135,"222",113.293713,23.390910
,136,"224",113.294911,23.392475
,137,"228",113.293231,23.392847
,138,"227",113.293741,23.392724
,139,"226",113.294133,23.392649
,140,"225",113.294534,23.392567
,141,"229",113.292678,23.393324
,142,"230",113.292656,23.393909
,143,"231",113.292916,23.394508
,144,"232",113.293660,23.394548
,145,"233",113.294170,23.394436
,146,"235",113.295191,23.394212
,147,"234",113.294721,23.394315
,148,"239",113.293552,23.395535
,149,"236",113.294930,23.395232
,150,"238",113.294154,23.395395
,151,"237",113.294549,23.395316
,152,"240",113.293146,23.396380
,153,"GY01",113.293699,23.397704
,154,"GY02",113.294081,23.397619
,155,"GY03",113.294463,23.397535
,156,"GY04",113.294845,23.397450
,157,"GY05",113.295227,23.397365
,158,"GY06",113.295609,23.397281
