"FID_","ID","NAME","X","Y"
,1,"16",113.214870,28.202374
,2,"17",113.214895,28.202006
,3,"18",113.214934,28.201639
,4,"19",113.214944,28.201290
,5,"20",113.214973,28.200923
,6,"11",113.214787,28.199810
,7,"12",113.215228,28.199849
,8,"14",113.215680,28.199893
,9,"10",113.215508,28.198858
,10,"9",113.215758,28.198329
,11,"8",113.215797,28.197858
,12,"7",113.215675,28.197250
,13,"6",113.215547,28.196961
,14,"5",113.215498,28.196549
,15,"4",113.215601,28.196098
,16,"3",113.215836,28.195681
,17,"2",113.215876,28.195132
,18,"1",113.215773,28.194632
,19,"15",113.215425,28.194166
,20,"211",113.215165,28.193813
,21,"212",113.215645,28.193317
,22,"213",113.215738,28.192783
,23,"214",113.215768,28.192195
,24,"215",113.215356,28.191748
,25,"216",113.214880,28.191685
,26,"222",113.215346,28.190988
,27,"221",113.214934,28.190974
,28,"223",113.215856,28.190812
,29,"224",113.216145,28.190297
,30,"225",113.216155,28.189895
,31,"226",113.215900,28.189267
,32,"227",113.215478,28.189071
,33,"228",113.215052,28.189003
,34,"231",113.215106,28.188120
,35,"232",113.215532,28.188115
,36,"233",113.215959,28.187831
,37,"234",113.216028,28.187316
,38,"235",113.216052,28.186639
,39,"236",113.215488,28.186247
,40,"237",113.214944,28.186188
,41,"238",113.214439,28.186114
,42,"201",113.214434,28.185114
,43,"202",113.214841,28.185153
,44,"203",113.215277,28.185173
,45,"204",113.215694,28.185188
,46,"205",113.216229,28.185212
,47,"206",113.216626,28.185237
,48,"207",113.217052,28.185266
