"FID_","ID","X","Y"
,1,113.214699,28.203882
,1,113.214694,28.204027
,1,113.215164,28.204043
,1,113.215173,28.203898
,1,113.214699,28.203882
,2,113.214518,28.203993
,2,113.214667,28.203998
,2,113.214697,28.203452
,2,113.214550,28.203448
,2,113.214518,28.203993
,3,113.214922,28.203815
,3,113.215119,28.203827
,3,113.215143,28.203484
,3,113.214943,28.203478
,3,113.214922,28.203815
,4,113.214752,28.203149
,4,113.214499,28.203149
,4,113.214499,28.203236
,4,113.214564,28.203236
,4,113.214564,28.203211
,4,113.214687,28.203211
,4,113.214687,28.203239
,4,113.214752,28.203239
,4,113.214752,28.203149
,5,113.214557,28.202984
,5,113.214741,28.202991
,5,113.214751,28.202756
,5,113.214564,28.202750
,5,113.214557,28.202984
,6,113.214955,28.202994
,6,113.215135,28.202999
,6,113.215145,28.202779
,6,113.214967,28.202771
,6,113.214955,28.202994
,7,113.216008,28.201330
,7,113.215996,28.201523
,7,113.216216,28.201532
,7,113.216227,28.201340
,7,113.216008,28.201330
