"FID_","ID","NAME","X","Y"
,1,"220",114.202582,30.770753
,2,"221",114.201055,30.769316
,3,"222",114.200599,30.769685
,4,"223",114.200160,30.770070
,5,"224",114.199707,30.770442
,6,"219",114.202299,30.771043
,7,"218",114.201972,30.771310
,8,"217",114.201650,30.771567
,9,"216",114.201344,30.771977
,10,"211",114.203931,30.772255
,11,"212",114.203589,30.772497
,12,"213",114.203264,30.772753
,13,"214",114.202911,30.773028
,14,"215",114.202444,30.773374
,15,"210",114.205277,30.773516
,16,"209",114.204833,30.773883
,17,"208",114.204378,30.774262
,18,"207",114.203906,30.774610
,19,"201",114.206760,30.774636
,20,"202",114.206414,30.774889
,21,"203",114.206087,30.775144
,22,"204",114.205755,30.775399
,23,"205",114.205483,30.775707
,24,"206",114.205186,30.775985
,25,"106",114.207659,30.775807
,26,"105",114.208024,30.776237
,27,"104",114.208402,30.776680
,28,"103",114.208811,30.777091
,29,"107",114.206904,30.777148
,30,"108",114.207317,30.777525
,31,"102",114.209247,30.777569
,32,"109",114.207717,30.777926
,33,"110",114.208092,30.778332
,34,"111",114.208493,30.778724
,35,"101",114.209769,30.778075
,36,"313",114.209193,30.780067
,37,"314",114.209475,30.780335
,38,"315",114.209758,30.780609
,39,"316",114.210048,30.780876
,40,"317",114.210315,30.781150
,41,"318",114.210576,30.781450
,42,"312",114.210462,30.780008
,43,"311",114.210721,30.780297
,44,"310",114.211002,30.780571
,45,"309",114.211276,30.780843
,46,"308",114.211531,30.781136
,47,"307",114.211812,30.781406
,48,"306",114.212151,30.781753
,49,"319",114.211132,30.782003
,50,"320",114.211428,30.782311
,51,"321",114.211704,30.782609
,52,"322",114.211987,30.782870
,53,"323",114.212263,30.783154
,54,"324",114.212555,30.783418
,55,"325",114.212789,30.783722
,56,"305",114.212442,30.782032
,57,"304",114.212714,30.782301
,58,"303",114.213403,30.783046
,59,"302",114.213687,30.783324
,60,"301",114.213932,30.783615
,61,"507",114.215701,30.785458
,62,"506",114.215933,30.785762
,63,"505",114.216158,30.785984
,64,"504",114.216316,30.786153
,65,"503",114.216433,30.786338
,66,"502",114.216557,30.786518
,67,"501",114.216702,30.786686
,68,"508",114.215214,30.786407
,69,"509",114.215449,30.786704
,70,"510",114.215732,30.786982
,71,"511",114.216024,30.787243
,72,"512",114.216274,30.787536
,73,"513",114.216574,30.787793
,74,"514",114.216817,30.788097
,75,"515",114.217671,30.789054
,76,"516",114.217939,30.789346
,77,"521",114.219166,30.788894
,78,"522",114.218856,30.788479
,79,"523B",114.218370,30.788148
,80,"523",114.218251,30.787986
,81,"523A",114.218113,30.787841
,82,"517",114.218208,30.789652
,83,"518",114.218486,30.789940
,84,"520",114.219516,30.789353
,85,"519",114.219943,30.789742
