"FID_","ID","NAME","X","Y"
,1,"215",108.774354,34.458551
,2,"214",108.774032,34.458274
,3,"213",108.773704,34.458001
,4,"212",108.773350,34.457754
,5,"211",108.772869,34.457435
,6,"210",108.772538,34.457159
,7,"209",108.772201,34.456902
,8,"208",108.771839,34.456666
,9,"B7",108.771352,34.456233
,10,"B7",108.772229,34.455346
,11,"223",108.772817,34.455683
,12,"222",108.773138,34.455949
,13,"221",108.773491,34.456203
,14,"220",108.773822,34.456462
,15,"219",108.774289,34.456813
,16,"218",108.774628,34.457070
,17,"217",108.774980,34.457324
,18,"216",108.775336,34.457562
,19,"224",108.771614,34.454884
,20,"225",108.771295,34.454601
,21,"207",108.770665,34.455852
,22,"206",108.770255,34.455514
,23,"205",108.769782,34.455140
,24,"204",108.769276,34.454805
,25,"203",108.768721,34.454439
,26,"202",108.768208,34.454070
,27,"201",108.767704,34.453710
,28,"115",108.766341,34.452933
,29,"114",108.765801,34.452546
,30,"113",108.765210,34.452107
,31,"112",108.764541,34.451609
,32,"111",108.763947,34.451141
,33,"T24",108.762376,34.450528
,34,"T23",108.762060,34.450258
,35,"T22",108.761748,34.449986
,36,"T21",108.761415,34.449724
,37,"T20",108.761059,34.449479
,38,"T19",108.760725,34.449231
,39,"T18",108.760373,34.448986
,40,"T17",108.759996,34.448765
,41,"T16",108.759685,34.448530
,42,"T15",108.763020,34.449957
,43,"T12",108.762732,34.449745
,44,"T11",108.762436,34.449525
,45,"T10",108.762152,34.449317
,46,"T09",108.761874,34.449084
,47,"T08",108.761592,34.448867
,48,"T07",108.761272,34.448674
,49,"T06",108.760991,34.448455
,50,"T05",108.760690,34.448249
,51,"T04",108.760134,34.447850
,52,"T01",108.758730,34.448254
,53,"1",108.759439,34.445553
,54,"2",108.758794,34.445275
,55,"3",108.758255,34.444924
,56,"4",108.757800,34.444621
,57,"5",108.757374,34.444300
,58,"6",108.757009,34.443943
,59,"7",108.756512,34.443585
,60,"8",108.755946,34.443265
,61,"9",108.755420,34.442941
,62,"10",108.755026,34.442618
,63,"11",108.754634,34.442345
,64,"12",108.754107,34.441980
,65,"15",108.753579,34.441619
,66,"16",108.753079,34.441248
,67,"17",108.752563,34.440821
,68,"18",108.751928,34.440363
,69,"19",108.751413,34.439909
,70,"34",108.750233,34.440855
,71,"33",108.750756,34.441145
,72,"32",108.751179,34.441513
,73,"31",108.751636,34.441873
,74,"30",108.752096,34.442207
,75,"29",108.752549,34.442559
,76,"28",108.753013,34.442901
,77,"27",108.754278,34.443720
,78,"26A",108.754414,34.443882
,79,"26",108.754598,34.443970
,80,"25",108.755077,34.444322
,81,"24A",108.755215,34.444496
,82,"24",108.755425,34.444584
,83,"23",108.756492,34.445317
,84,"22",108.756870,34.445573
,85,"21",108.757227,34.445854
,86,"20B",108.757606,34.446122
,87,"20",108.758058,34.446478
