"FID_","ID","NAME","X","Y"
,1,"311",102.929169,25.095727
,2,"312",102.929639,25.095326
,3,"313",102.930209,25.094923
,4,"104",102.931136,25.095870
,5,"103",102.930698,25.096175
,6,"102",102.930310,25.096446
,7,"101",102.929924,25.096725
,8,"105",102.932495,25.097358
,9,"106",102.931713,25.097918
,10,"107",102.931168,25.098372
,11,"108",102.930691,25.098732
,12,"109",102.930265,25.099048
,13,"110",102.929832,25.099331
,14,"111",102.929491,25.099673
,15,"112",102.929312,25.100164
,16,"113",102.929401,25.100691
,17,"114",102.929720,25.101097
,18,"115",102.930137,25.101605
,19,"116",102.930492,25.101994
,20,"117",102.930884,25.102223
,21,"118",102.931288,25.102257
,22,"119",102.931693,25.102251
,23,"120",102.932098,25.102197
,24,"121",102.932561,25.102118
,25,"122",102.932936,25.102013
,26,"123",102.933338,25.101935
,27,"124",102.933731,25.101863
,28,"125",102.934139,25.101780
,29,"126",102.934692,25.101825
,30,"127",102.935216,25.102537
,31,"128",102.935387,25.103025
,32,"129",102.935319,25.103695
,33,"130",102.934218,25.103991
,34,"131",102.933653,25.104003
,35,"132",102.933114,25.104008
,36,"133",102.932556,25.104027
,37,"134",102.931911,25.104089
,38,"135",102.930758,25.105167
,39,"136",102.930499,25.105695
,40,"137",102.930332,25.106190
,41,"138",102.930280,25.106685
,42,"139",102.930103,25.107175
,43,"140",102.929593,25.107722
,44,"141",102.928684,25.107686
,45,"142",102.928116,25.107465
,46,"143",102.927703,25.107033
,47,"144",102.927697,25.106550
,48,"145",102.927862,25.105976
,49,"146",102.928024,25.105634
,50,"147",102.928231,25.105308
,51,"148",102.928412,25.104946
,52,"149",102.928564,25.104533
,53,"150",102.928721,25.104122
,54,"151",102.928783,25.103812
,55,"152",102.928771,25.103468
,56,"153",102.928607,25.103107
,57,"154",102.928301,25.102706
,58,"155",102.927856,25.102175
,59,"156",102.927490,25.101934
,60,"157",102.926963,25.101827
,61,"158",102.926478,25.101911
,62,"159",102.926017,25.102203
,63,"160",102.925581,25.102497
,64,"161",102.925149,25.102819
,65,"162",102.924712,25.103124
,66,"163",102.924170,25.103410
,67,"164",102.923620,25.103850
,68,"323",102.921313,25.101382
,69,"322",102.921831,25.100911
,70,"321",102.922357,25.100580
,71,"168",102.923356,25.101509
,72,"167",102.922978,25.101781
,73,"166",102.922574,25.102114
,74,"165",102.922143,25.102427
,75,"324",102.926992,25.107774
,76,"325",102.927251,25.108076
,77,"326",102.927482,25.108397
,78,"327",102.927777,25.108682
,79,"328",102.928043,25.108995
,80,"329",102.931593,25.108161
,81,"724",102.930983,25.108614
,82,"723",102.930549,25.108948
,83,"722B",102.930260,25.109173
,84,"722",102.930036,25.109318
,85,"722A",102.929918,25.109430
,86,"721",102.948494,25.115554
,87,"711",102.947386,25.115644
,88,"712",102.947655,25.115924
,89,"710",102.947112,25.115382
,90,"713",102.947899,25.116220
,91,"714",102.948296,25.116609
,92,"715",102.948410,25.116783
,93,"716",102.948733,25.117128
,94,"717",102.948967,25.117393
,95,"718",102.949229,25.117704
,96,"701",102.949661,25.118182
,97,"702",102.949925,25.118468
,98,"703",102.950167,25.118756
,99,"704",102.950398,25.119050
,100,"705",102.950828,25.119384
,101,"706",102.951193,25.119779
,102,"707",102.951516,25.120080
,103,"708",102.952280,25.121166
,104,"314",102.935652,25.101307
,105,"315",102.935947,25.101649
,106,"316",102.936211,25.101943
,107,"317",102.936464,25.102215
,108,"318",102.936698,25.102563
