"FID_","ID","NAME","X","Y"
,1,"101",118.135371,24.546326
,2,"86",118.136062,24.545574
,3,"85",118.135613,24.545219
,4,"84",118.135012,24.544756
,5,"1",118.123022,24.536095
,6,"2",118.123401,24.536420
,7,"3",118.123843,24.536740
,8,"4",118.124330,24.536990
,9,"6",118.124771,24.537303
,10,"7",118.125208,24.537609
,11,"8",118.125715,24.537978
,12,"9",118.126295,24.538414
,13,"10",118.126776,24.538806
,14,"11",118.127202,24.539118
,15,"12",118.127632,24.539475
,16,"15",118.128059,24.539786
,17,"16",118.128498,24.540084
,18,"17",118.128916,24.540431
,19,"61",118.129412,24.540907
,20,"62",118.129807,24.541152
,21,"63",118.130175,24.541442
,22,"64",118.130581,24.541690
,23,"65",118.131058,24.542019
,24,"66",118.131351,24.542256
,25,"68",118.132429,24.543065
,26,"67",118.132029,24.542685
,27,"69",118.132862,24.543361
,28,"81",118.133261,24.543641
,29,"82",118.133850,24.544003
,30,"83",118.134409,24.544399
,31,"91",118.132585,24.544326
,32,"92",118.132938,24.544570
,33,"93",118.133284,24.544822
,34,"94",118.133621,24.545081
,35,"95",118.133978,24.545330
,36,"96",118.134318,24.545587
,37,"71",118.128960,24.541641
,38,"72",118.129297,24.541874
,39,"73",118.129607,24.542103
,40,"74",118.129965,24.542347
,41,"75",118.130295,24.542591
,42,"76",118.130635,24.542812
,43,"77",118.130971,24.543045
,44,"78",118.131309,24.543284
,45,"79",118.131642,24.543528
,46,"51",118.126167,24.539676
,47,"52",118.126525,24.539937
,48,"53",118.126896,24.540192
,49,"54",118.127245,24.540463
,50,"55",118.127598,24.540731
,51,"56",118.127959,24.540990
,52,"41",118.123063,24.537447
,53,"42",118.123411,24.537716
,54,"43",118.123752,24.537964
,55,"44",118.124099,24.538216
,56,"45",118.124443,24.538467
,57,"46",118.124788,24.538711
,58,"47",118.125137,24.538956
,59,"31",118.121063,24.535844
,60,"32",118.121408,24.536106
,61,"33",118.121767,24.536367
,62,"34",118.122124,24.536634
,63,"24",118.120518,24.535301
,64,"21",118.117904,24.533558
,65,"22",118.118715,24.534073
,66,"23",118.119560,24.534626
