"FID_","ID","NAME","X","Y"
,1,"101",120.421199,30.227212
,2,"102",120.421577,30.227373
,3,"103",120.421940,30.227554
,4,"104",120.422296,30.227754
,5,"105",120.422665,30.227878
,6,"106",120.423017,30.228068
,7,"106A",120.422950,30.228039
,8,"107",120.423348,30.228232
,9,"108A",120.423641,30.228372
,10,"108",120.423697,30.228399
,11,"201",120.428606,30.232942
,12,"202",120.428781,30.232608
,13,"203",120.428969,30.232283
,14,"204",120.429140,30.231946
,15,"205",120.429341,30.231627
,16,"206",120.429832,30.233483
,17,"207",120.429991,30.233146
,18,"208",120.430180,30.232818
,19,"209",120.430370,30.232494
,20,"210",120.430563,30.232166
,21,"211",120.430802,30.233931
,22,"212",120.430954,30.233588
,23,"213",120.431142,30.233256
,24,"214",120.431601,30.232729
,25,"215",120.432663,30.232928
,26,"216",120.433333,30.233335
,27,"217",120.433183,30.234047
,28,"218",120.433009,30.234479
,29,"27",120.433774,30.234744
,30,"26",120.433926,30.234379
,31,"25",120.434319,30.233840
,32,"24",120.435549,30.234251
,33,"23",120.436121,30.234837
,34,"22",120.435765,30.235450
,35,"21",120.435499,30.235896
,36,"20",120.435247,30.236363
,37,"19",120.434981,30.236809
,38,"18",120.434742,30.237264
,39,"17",120.434516,30.237732
,40,"16",120.434223,30.238267
,41,"29",120.435069,30.238931
,42,"30",120.435295,30.238557
,43,"35",120.438353,30.235702
,44,"36",120.437839,30.236522
,45,"37",120.437602,30.236929
,46,"38",120.437330,30.237379
,47,"39",120.437032,30.237818
,48,"40",120.436746,30.238248
,49,"34",120.435807,30.233326
,50,"33",120.436198,30.233491
,51,"32",120.436581,30.233671
,52,"41",120.438769,30.234641
,53,"42",120.439198,30.234799
,54,"43",120.440331,30.235321
,55,"44",120.440706,30.235473
,56,"45",120.441070,30.235634
,57,"501",120.441770,30.236705
,58,"502",120.442177,30.236876
,59,"503",120.442495,30.237026
,60,"504",120.442988,30.237230
,61,"508",120.444734,30.237978
,62,"507",120.444252,30.237767
,63,"505",120.443370,30.237409
,64,"506",120.443737,30.237583
,65,"518",120.440808,30.237279
,66,"517",120.441447,30.237568
,67,"516",120.441797,30.237783
,68,"515",120.442175,30.237937
,69,"514",120.442550,30.238105
,70,"513",120.442924,30.238245
,71,"512",120.443279,30.238407
,72,"511",120.443638,30.238570
,73,"510",120.444007,30.238743
,74,"509",120.444604,30.239038
