"FID_","ID","NAME","X","Y"
,1,"310",121.779830,31.151634
,2,"313",121.780578,31.149676
,3,"311",121.780088,31.150958
,4,"312",121.780330,31.150324
,5,"314",121.780834,31.149006
,6,"315",121.781209,31.148024
,7,"319",121.782174,31.145498
,8,"316",121.781455,31.147380
,9,"317",121.781687,31.146772
,10,"318",121.781926,31.146147
,11,"320",121.782504,31.144635
,12,"324",121.783473,31.142099
,13,"321",121.782768,31.143944
,14,"322",121.783005,31.143322
,15,"323",121.783244,31.142696
,16,"325",121.783821,31.141188
,17,"327",121.784329,31.139857
,18,"326",121.784077,31.140517
,19,"328",121.785122,31.137782
,20,"332",121.786093,31.135239
,21,"329",121.785377,31.137114
,22,"330",121.785619,31.136482
,23,"331",121.785855,31.135863
,24,"333",121.786426,31.134368
,25,"337",121.787425,31.131754
,26,"334",121.786689,31.133681
,27,"335",121.786925,31.133063
,28,"336",121.787168,31.132426
,29,"338",121.787724,31.130971
,30,"342",121.788723,31.128357
,31,"339",121.787992,31.130270
,32,"340",121.788230,31.129647
,33,"341",121.788461,31.129042
,34,"343",121.789092,31.127390
,35,"344",121.789338,31.126747
,36,"345",121.789590,31.126087
,37,"346",121.789823,31.125476
,38,"347",121.790076,31.124816
,39,"408",121.804129,31.125386
,40,"409",121.804351,31.124771
,41,"410",121.804658,31.124126
,42,"411",121.804829,31.123450
,43,"412",121.805061,31.122807
,44,"413",121.805289,31.122179
,45,"414",121.805519,31.121541
,46,"415",121.805756,31.120887
,47,"401A",121.804548,31.125617
,48,"401B",121.804701,31.125184
,49,"402A",121.804839,31.124793
,50,"402B",121.804957,31.124461
,51,"403",121.805081,31.124110
,52,"404",121.805202,31.123768
,53,"405",121.805383,31.123256
,54,"406",121.805605,31.122630
,55,"407",121.806071,31.121314
,56,"406",121.805839,31.121967
,57,"451",121.806373,31.125444
,58,"452",121.806545,31.124975
,59,"453",121.806721,31.124497
,60,"458",121.807349,31.122784
,61,"459",121.807569,31.122186
,62,"509",121.801089,31.134463
,63,"510",121.801310,31.133879
,64,"511",121.801527,31.133302
,65,"512",121.801744,31.132724
,66,"502",121.799093,31.139768
,67,"503",121.799326,31.139154
,68,"504",121.799553,31.138543
,69,"505",121.800000,31.137358
,70,"506",121.800213,31.136793
,71,"507",121.800427,31.136223
,72,"508",121.800646,31.135640
,73,"532",121.800828,31.140028
,74,"533",121.801068,31.139398
,75,"534",121.801357,31.138638
,76,"535",121.801598,31.138007
,77,"536",121.801841,31.137368
,78,"537",121.802086,31.136725
,79,"538",121.802333,31.136078
,80,"539",121.802579,31.135433
,81,"540",121.802822,31.134793
,82,"541",121.803070,31.134144
,83,"542",121.803314,31.133502
,84,"543",121.803562,31.132853
,85,"5",121.796048,31.157016
,86,"4",121.796230,31.156535
,87,"3",121.796407,31.156067
,88,"2",121.796595,31.155572
,89,"1",121.796784,31.155072
,90,"29",121.799469,31.147857
,91,"28",121.799654,31.147339
,92,"27",121.799835,31.146835
,93,"26",121.800014,31.146334
,94,"25",121.800189,31.145844
,95,"6",121.794309,31.156520
,96,"7",121.794556,31.155886
,97,"8",121.794805,31.155244
,98,"9",121.795056,31.154600
,99,"10",121.795323,31.153913
,100,"11",121.795570,31.153279
,101,"12",121.795819,31.152638
,102,"13",121.796073,31.151986
,103,"14",121.796339,31.151302
,104,"15",121.796584,31.150673
,105,"16",121.796837,31.150022
,106,"17",121.797089,31.149374
,107,"18",121.797352,31.148697
,108,"19",121.797601,31.148060
,109,"20",121.797850,31.147420
