"FID_","ID","NAME","X","Y"
,1,"21A",120.377359,36.269561
,2,"21",120.377435,36.269360
,3,"21B",120.377476,36.269130
,4,"23",120.377839,36.268064
,5,"5",120.378970,36.269336
,6,"6",120.379065,36.268822
,7,"7",120.379148,36.268172
,8,"24",120.377982,36.267670
,9,"25",120.378115,36.267282
,10,"26",120.378230,36.266858
,11,"8",120.379280,36.267457
,12,"9",120.379461,36.266896
,13,"D",120.377740,36.266268
,14,"27",120.378589,36.265920
,15,"10",120.379643,36.266329
,16,"11",120.379774,36.265882
,17,"12",120.379959,36.265395
,18,"13",120.380347,36.264878
,19,"14",120.380798,36.264388
,20,"15",120.381288,36.263919
,21,"28",120.378661,36.265550
,22,"29",120.378810,36.265135
,23,"30",120.378938,36.264754
,24,"31",120.379123,36.264264
,25,"32",120.379282,36.263885
,26,"33",120.379388,36.263554
,27,"34",120.379496,36.263195
,28,"35",120.380010,36.261986
,29,"16",120.381977,36.263475
,30,"17",120.382528,36.263146
,31,"18",120.383059,36.262913
,32,"19",120.383492,36.262759
,33,"20",120.383878,36.262696
,34,"39",120.382803,36.261954
,35,"38",120.382122,36.261923
,36,"37",120.381527,36.261832
,37,"36",120.380148,36.261454
,38,"A7",120.380010,36.259360
,39,"40",120.380338,36.259985
,40,"41",120.381213,36.260125
,41,"42",120.381878,36.260212
,42,"43",120.382517,36.260337
,43,"44",120.383169,36.260468
,44,"45",120.383815,36.260604
