"FID_","ID","NAME","X","Y"
,1,"401",121.327269,31.211732
,2,"402",121.327304,31.211267
,3,"403",121.327321,31.210730
,4,"404",121.327344,31.210271
,5,"405",121.327363,31.209907
,6,"406",121.327390,31.209381
,7,"407",121.327421,31.208786
,8,"408",121.327449,31.208250
,9,"409",121.327477,31.207709
,10,"410",121.327501,31.207247
,11,"411",121.327528,31.206723
,12,"412",121.327562,31.206079
,13,"413",121.327581,31.205715
,14,"212",121.328024,31.203031
,15,"213",121.327363,31.203004
,16,"214",121.326650,31.202976
,17,"215",121.326033,31.202950
,18,"216",121.325613,31.202933
,19,"217",121.325197,31.202917
,20,"218",121.324350,31.202579
,21,"219",121.324058,31.202244
,22,"220",121.324082,31.201834
,23,"221",121.324107,31.201475
,24,"222",121.324131,31.201111
,25,"223",121.324156,31.200750
,26,"224",121.324184,31.200337
,27,"225",121.324443,31.200051
,28,"226",121.325012,31.199629
,29,"227",121.325478,31.199526
,30,"228",121.325910,31.199541
,31,"229",121.326512,31.199561
,32,"230",121.327237,31.199584
,33,"231",121.327915,31.199607
,34,"232",121.328209,31.199450
,35,"233",121.328279,31.199085
,36,"234",121.328343,31.198744
,37,"235",121.328418,31.198355
,38,"236",121.328100,31.198189
,39,"237",121.327511,31.198156
,40,"238",121.326844,31.198119
,41,"238A",121.326785,31.198115
,42,"239",121.326320,31.198089
,43,"240A",121.325945,31.198068
,44,"240",121.325813,31.198061
,45,"246",121.325255,31.197658
,46,"248",121.325289,31.196669
,47,"250",121.325315,31.195930
,48,"256",121.325481,31.195051
,49,"257",121.326268,31.194797
,50,"258",121.326701,31.194782
,51,"259A",121.327090,31.194812
,52,"260",121.327754,31.194825
,53,"261",121.328396,31.194837
,54,"259",121.327189,31.194814
,55,"262",121.328685,31.194606
,56,"263",121.328690,31.194220
,57,"264",121.328695,31.193842
,58,"265",121.328700,31.193434
,59,"266",121.328251,31.193375
,60,"267",121.327557,31.193348
,61,"268",121.326839,31.193320
,62,"269",121.326253,31.193298
,63,"270",121.325783,31.193279
,64,"271",121.325363,31.193131
,65,"272",121.324844,31.192690
,66,"273",121.324653,31.192365
,67,"274",121.324663,31.191950
,68,"275",121.324672,31.191585
,69,"276",121.324680,31.191225
,70,"277",121.324689,31.190850
,71,"278",121.324733,31.190449
,72,"279",121.325120,31.190197
,73,"280",121.325795,31.189952
,74,"281",121.326225,31.189965
,75,"282",121.326643,31.189978
,76,"283",121.327361,31.190000
,77,"284",121.328066,31.190021
,78,"285",121.328767,31.190043
,79,"286",121.328770,31.189471
,80,"287",121.328790,31.189101
,81,"288",121.328810,31.188724
,82,"289",121.328829,31.188367
,83,"290",121.328849,31.187991
,84,"601",121.328523,31.187136
,85,"602",121.328551,31.186673
,86,"603",121.328585,31.186090
,87,"604A",121.328616,31.185562
,88,"604",121.328633,31.185274
,89,"604B",121.328638,31.185192
,90,"605",121.328665,31.184727
,91,"606",121.328700,31.184128
,92,"607",121.328731,31.183611
,93,"608",121.328748,31.183321
,94,"21",121.339184,31.206599
,95,"22",121.339191,31.206067
,96,"23",121.339198,31.205492
,97,"24",121.340286,31.206589
,98,"25",121.340307,31.206009
,99,"26",121.340330,31.205392
,100,"27",121.340228,31.204786
,101,"28",121.340460,31.204610
,102,"31",121.340160,31.203678
,103,"32",121.340179,31.203333
,104,"33",121.340200,31.202963
,105,"34",121.340221,31.202596
,106,"35",121.340243,31.202218
,107,"36",121.340265,31.201830
,108,"41",121.340314,31.200956
,109,"42",121.340336,31.200571
,110,"43",121.340355,31.200235
,111,"44",121.340376,31.199857
,112,"45",121.340397,31.199500
,113,"60",121.345973,31.204155
,114,"59",121.345982,31.203912
,115,"58",121.345989,31.203686
,116,"57",121.345996,31.203496
,117,"51",121.341676,31.202415
,118,"52",121.342209,31.202439
,119,"53",121.342773,31.202463
,120,"54",121.343314,31.202487
,121,"61",121.341734,31.201242
,122,"62",121.342144,31.201253
,123,"63",121.342579,31.201266
,124,"64",121.342994,31.201278
,125,"65",121.343427,31.201290
,126,"66",121.343805,31.201301
,127,"71",121.341689,31.200067
,128,"72",121.342166,31.200084
,129,"73",121.342554,31.200099
,130,"74",121.343005,31.200115
,131,"75",121.343438,31.200131
,132,"76",121.343832,31.200146
,133,"81",121.341981,31.199543
,134,"82",121.342426,31.199558
,135,"83",121.342844,31.199573
,136,"84",121.343264,31.199588
,137,"85",121.343688,31.199602
,138,"6",121.341254,31.198177
,139,"5",121.341990,31.198196
,140,"4",121.342716,31.198215
,141,"3",121.343482,31.198236
,142,"2",121.344196,31.198255
,143,"924",121.341140,31.184445
,144,"923",121.341117,31.184855
,145,"922",121.341092,31.185292
,146,"921",121.341067,31.185738
,147,"920",121.341044,31.186146
,148,"919",121.341022,31.186531
,149,"918",121.341002,31.186893
,150,"917",121.340980,31.187281
,151,"99",121.340943,31.187940
,152,"98C",121.340741,31.188930
,153,"98B",121.341003,31.188930
,154,"98A",121.341122,31.188930
,155,"97",121.340868,31.189260
,156,"96",121.340832,31.189898
,157,"95",121.340794,31.190560
,158,"94",121.340758,31.191196
,159,"93",121.340721,31.191867
,160,"92",121.340684,31.192508
,161,"91",121.340647,31.193160
,162,"16",121.340603,31.193948
,163,"15",121.340567,31.194584
,164,"14",121.340530,31.195236
,165,"13",121.340495,31.195858
,166,"12",121.340463,31.196427
,167,"11",121.340434,31.196943
,168,"10",121.340399,31.197545
,169,"9",121.340542,31.198073
