"FID_","ID","NAME","X","Y"
,1," ",0,106.639463,29.718223
,1," ",0,106.639360,29.718216
,1," ",0,106.639286,29.718210
,1," ",0,106.639198,29.718186
,1," ",0,106.639107,29.718138
,1," ",0,106.639030,29.718081
,2," ",1,106.639463,29.718223
,2," ",1,106.639362,29.718279
,2," ",1,106.639308,29.718317
,2," ",1,106.639271,29.718365
,2," ",1,106.639200,29.718567
,3," ",2,106.639463,29.718223
,3," ",2,106.640835,29.717856
,3," ",2,106.641088,29.717789
,3," ",2,106.641422,29.717700
,3," ",2,106.642597,29.717389
,4," ",3,106.640270,29.703664
,4," ",3,106.640692,29.704805
,4," ",3,106.640919,29.705419
,4," ",3,106.641691,29.707765
,4," ",3,106.642621,29.710302
,4," ",3,106.643489,29.712819
,4," ",3,106.644447,29.715599
,4," ",3,106.645477,29.718608
,4," ",3,106.646474,29.721464
,4," ",3,106.647223,29.723643
,4," ",3,106.648167,29.726428
,4," ",3,106.648810,29.728240
,4," ",3,106.649497,29.730219
,4," ",3,106.650193,29.732207
,4," ",3,106.651094,29.734734
,4," ",3,106.651375,29.735676
,4," ",3,106.651710,29.736799
,5," ",4,106.634002,29.714975
,5," ",4,106.633877,29.714562
,6," ",5,106.633877,29.714562
,6," ",5,106.633895,29.714467
,6," ",5,106.633923,29.714388
,6," ",5,106.633961,29.714334
,7," ",6,106.633877,29.714562
,7," ",6,106.633832,29.714507
,7," ",6,106.633780,29.714458
,7," ",6,106.633670,29.714410
,8," ",7,106.634409,29.714859
,8," ",7,106.634296,29.714461
,9," ",8,106.634296,29.714461
,9," ",8,106.634230,29.714392
,9," ",8,106.634184,29.714352
,9," ",8,106.634100,29.714298
,10," ",9,106.634296,29.714461
,10," ",9,106.634318,29.714328
,10," ",9,106.634345,29.714258
,10," ",9,106.634374,29.714226
,11," ",10,106.634807,29.714744
,11," ",10,106.634676,29.714370
,12," ",11,106.634676,29.714370
,12," ",11,106.634594,29.714261
,12," ",11,106.634533,29.714209
,12," ",11,106.634494,29.714194
,13," ",12,106.634676,29.714370
,13," ",12,106.634688,29.714273
,13," ",12,106.634719,29.714194
,13," ",12,106.634759,29.714125
,14," ",13,106.635226,29.714644
,14," ",13,106.635107,29.714243
,15," ",14,106.635107,29.714243
,15," ",14,106.635053,29.714182
,15," ",14,106.634980,29.714112
,15," ",14,106.634920,29.714083
,16," ",15,106.635107,29.714243
,16," ",15,106.635110,29.714197
,16," ",15,106.635129,29.714130
,16," ",15,106.635168,29.714063
,16," ",15,106.635213,29.714006
,17," ",16,106.635596,29.714568
,17," ",16,106.635490,29.714130
,18," ",17,106.635490,29.714130
,18," ",17,106.635408,29.714048
,18," ",17,106.635344,29.714006
,18," ",17,106.635303,29.713983
,19," ",18,106.635490,29.714130
,19," ",18,106.635505,29.714085
,19," ",18,106.635542,29.714012
,19," ",18,106.635641,29.713894
,20," ",19,106.633731,29.713543
,20," ",19,106.633938,29.714136
,21," ",20,106.633938,29.714136
,21," ",20,106.633977,29.714188
,21," ",20,106.634035,29.714243
,21," ",20,106.634100,29.714298
,22," ",21,106.633895,29.714351
,22," ",21,106.633961,29.714334
,23," ",22,106.633938,29.714136
,23," ",22,106.633947,29.714197
,23," ",22,106.633941,29.714246
,23," ",22,106.633926,29.714303
,23," ",22,106.633908,29.714337
,23," ",22,106.633895,29.714351
,24," ",23,106.634372,29.714045
,24," ",23,106.634163,29.713422
,25," ",24,106.634372,29.714045
,25," ",24,106.634403,29.714106
,25," ",24,106.634433,29.714145
,25," ",24,106.634494,29.714194
,26," ",25,106.634372,29.714045
,26," ",25,106.634372,29.714100
,26," ",25,106.634372,29.714145
,26," ",25,106.634363,29.714182
,26," ",25,106.634345,29.714215
,26," ",25,106.634324,29.714239
,27," ",26,106.634719,29.713896
,27," ",26,106.634539,29.713348
,28," ",27,106.634719,29.713896
,28," ",27,106.634755,29.713960
,28," ",27,106.634819,29.714021
,28," ",27,106.634870,29.714057
,28," ",27,106.634920,29.714083
,29," ",28,106.634755,29.713960
,29," ",28,106.634758,29.714021
,29," ",28,106.634746,29.714073
,29," ",28,106.634714,29.714137
,30," ",29,106.635138,29.713830
,30," ",29,106.634946,29.713232
,31," ",30,106.635138,29.713830
,31," ",30,106.635189,29.713899
,31," ",30,106.635241,29.713945
,31," ",30,106.635303,29.713983
,32," ",31,106.635138,29.713830
,32," ",31,106.635144,29.713912
,32," ",31,106.635123,29.713969
,32," ",31,106.635101,29.714000
,32," ",31,106.635053,29.714048
,33," ",32,106.636660,29.713623
,33," ",32,106.636514,29.713604
,33," ",32,106.636438,29.713575
,33," ",32,106.636357,29.713512
,34," ",33,106.636357,29.713512
,34," ",33,106.636347,29.713504
,34," ",33,106.636299,29.713430
,34," ",33,106.636278,29.713350
,34," ",33,106.636243,29.713097
,35," ",34,106.636357,29.713512
,35," ",34,106.636025,29.713440
,35," ",34,106.635308,29.713240
,36," ",35,106.637109,29.713496
,36," ",35,106.637191,29.713419
,36," ",35,106.637276,29.713340
