"FID_","ID","NAME","X","Y"
,1,"T2候机楼",0,106.633693,29.718375
,1,"T2候机楼",0,106.634432,29.718144
,1,"T2候机楼",0,106.634627,29.718083
,1,"T2候机楼",0,106.634779,29.718035
,1,"T2候机楼",0,106.634217,29.716329
,1,"T2候机楼",0,106.634029,29.716373
,1,"T2候机楼",0,106.633828,29.716421
,1,"T2候机楼",0,106.633028,29.716609
,1,"T2候机楼",0,106.633634,29.718367
,1,"T2候机楼",0,106.633693,29.718375
,2,"T2候机楼",1,106.633828,29.716421
,2,"T2候机楼",1,106.634029,29.716373
,2,"T2候机楼",1,106.633867,29.715919
,2,"T2候机楼",1,106.634496,29.715754
,2,"T2候机楼",1,106.634585,29.715730
,2,"T2候机楼",1,106.635055,29.715607
,2,"T2候机楼",1,106.635133,29.715586
,2,"T2候机楼",1,106.635612,29.715460
,2,"T2候机楼",1,106.635702,29.715437
,2,"T2候机楼",1,106.635734,29.715428
,2,"T2候机楼",1,106.635836,29.715401
,2,"T2候机楼",1,106.635916,29.715380
,2,"T2候机楼",1,106.635908,29.715353
,2,"T2候机楼",1,106.635887,29.715281
,2,"T2候机楼",1,106.635846,29.715138
,2,"T2候机楼",1,106.635831,29.715088
,2,"T2候机楼",1,106.635800,29.715096
,2,"T2候机楼",1,106.635700,29.715123
,2,"T2候机楼",1,106.635657,29.715134
,2,"T2候机楼",1,106.635535,29.715166
,2,"T2候机楼",1,106.635496,29.715177
,2,"T2候机楼",1,106.635127,29.715274
,2,"T2候机楼",1,106.635087,29.715285
,2,"T2候机楼",1,106.634734,29.715378
,2,"T2候机楼",1,106.634694,29.715389
,2,"T2候机楼",1,106.634322,29.715487
,2,"T2候机楼",1,106.634284,29.715497
,2,"T2候机楼",1,106.633970,29.715580
,2,"T2候机楼",1,106.633929,29.715591
,2,"T2候机楼",1,106.633486,29.715708
,2,"T2候机楼",1,106.633593,29.715985
,2,"T2候机楼",1,106.633682,29.715967
,2,"T2候机楼",1,106.633828,29.716421
,3,"T2候机楼",2,106.633929,29.715591
,3,"T2候机楼",2,106.633970,29.715580
,3,"T2候机楼",2,106.633963,29.715558
,3,"T2候机楼",2,106.633987,29.715550
,3,"T2候机楼",2,106.633869,29.715221
,3,"T2候机楼",2,106.633951,29.715055
,3,"T2候机楼",2,106.633906,29.715025
,3,"T2候机楼",2,106.633756,29.715261
,3,"T2候机楼",2,106.633777,29.715320
,3,"T2候机楼",2,106.633813,29.715304
,3,"T2候机楼",2,106.633929,29.715591
,4,"T2候机楼",3,106.634284,29.715497
,4,"T2候机楼",3,106.634322,29.715487
,4,"T2候机楼",3,106.634316,29.715468
,4,"T2候机楼",3,106.634346,29.715456
,4,"T2候机楼",3,106.634236,29.715140
,4,"T2候机楼",3,106.634358,29.714959
,4,"T2候机楼",3,106.634306,29.714927
,4,"T2候机楼",3,106.634123,29.715176
,4,"T2候机楼",3,106.634137,29.715232
,4,"T2候机楼",3,106.634174,29.715218
,4,"T2候机楼",3,106.634284,29.715497
,5,"T2候机楼",4,106.634694,29.715389
,5,"T2候机楼",4,106.634734,29.715378
,5,"T2候机楼",4,106.634725,29.715352
,5,"T2候机楼",4,106.634751,29.715344
,5,"T2候机楼",4,106.634645,29.715034
,5,"T2候机楼",4,106.634766,29.714850
,5,"T2候机楼",4,106.634719,29.714813
,5,"T2候机楼",4,106.634529,29.715070
,5,"T2候机楼",4,106.634553,29.715124
,5,"T2候机楼",4,106.634581,29.715106
,5,"T2候机楼",4,106.634694,29.715389
,6,"T2候机楼",5,106.635088,29.715285
,6,"T2候机楼",5,106.635127,29.715274
,6,"T2候机楼",5,106.635120,29.715257
,6,"T2候机楼",5,106.635151,29.715248
,6,"T2候机楼",5,106.635051,29.714936
,6,"T2候机楼",5,106.635171,29.714737
,6,"T2候机楼",5,106.635126,29.714703
,6,"T2候机楼",5,106.634926,29.714968
,6,"T2候机楼",5,106.634948,29.715020
,6,"T2候机楼",5,106.634981,29.715003
,6,"T2候机楼",5,106.635088,29.715285
,7,"T2候机楼",6,106.635496,29.715177
,7,"T2候机楼",6,106.635535,29.715166
,7,"T2候机楼",6,106.635529,29.715145
,7,"T2候机楼",6,106.635557,29.715138
,7,"T2候机楼",6,106.635450,29.714824
,7,"T2候机楼",6,106.635567,29.714649
,7,"T2候机楼",6,106.635513,29.714613
,7,"T2候机楼",6,106.635335,29.714869
,7,"T2候机楼",6,106.635360,29.714911
,7,"T2候机楼",6,106.635384,29.714892
,7,"T2候机楼",6,106.635496,29.715177
,8,"T2候机楼",7,106.635657,29.715134
,8,"T2候机楼",7,106.635700,29.715123
,8,"T2候机楼",7,106.635700,29.715104
,8,"T2候机楼",7,106.635725,29.715104
,8,"T2候机楼",7,106.635725,29.715078
,8,"T2候机楼",7,106.635740,29.715077
,8,"T2候机楼",7,106.635757,29.714795
,8,"T2候机楼",7,106.635638,29.714789
,8,"T2候机楼",7,106.635633,29.714853
,8,"T2候机楼",7,106.635668,29.714857
,8,"T2候机楼",7,106.635657,29.715134
,9,"T2候机楼",8,106.635792,29.715089
,9,"T2候机楼",8,106.635800,29.715096
,9,"T2候机楼",8,106.635831,29.715088
,9,"T2候机楼",8,106.635846,29.715138
,9,"T2候机楼",8,106.635846,29.715139
,9,"T2候机楼",8,106.635854,29.715146
,9,"T2候机楼",8,106.635980,29.715006
,9,"T2候机楼",8,106.636155,29.715096
,9,"T2候机楼",8,106.636185,29.715024
,9,"T2候机楼",8,106.635971,29.714917
,9,"T2候机楼",8,106.635792,29.715089
,10,"T2候机楼",9,106.635887,29.715281
