"FID_","ID","NAME","X","Y"
,1,"K212",103.956453,30.591374
,2,"K211",103.956304,30.591027
,3,"K210",103.956189,30.590678
,4,"K209",103.955773,30.589951
,5,"K201",103.954577,30.587288
,6,"K202",103.954733,30.587632
,7,"K203",103.954887,30.587978
,8,"K204",103.955040,30.588324
,9,"K205",103.955193,30.588665
,10,"K206",103.955348,30.589004
,11,"K207",103.955505,30.589354
,12,"K208",103.955658,30.589696
,13,"K228",103.956781,30.590343
,14,"K227",103.957901,30.589964
,15,"K226",103.957120,30.590228
,16,"K225",103.957510,30.590098
,17,"K219",103.956936,30.589498
,18,"K218",103.956779,30.589156
,19,"K217",103.956638,30.588845
,20,"K216",103.956480,30.588498
,21,"K215",103.956325,30.588158
,22,"K214",103.956108,30.587686
,23,"K213",103.955839,30.587092
,24,"K24",103.957931,30.589087
,25,"K35",103.956906,30.586689
,26,"K34",103.957101,30.587147
,27,"L4",103.955629,30.585721
,28,"K1",103.957540,30.585003
,29,"K2",103.957000,30.585208
,30,"K3",103.956341,30.585454
,31,"K8",103.954701,30.585188
,32,"K7",103.955129,30.584076
,33,"K5",103.956359,30.583626
,34,"K6",103.955809,30.583826
,35,"K12",103.954504,30.583128
,36,"K9",103.955883,30.582635
,37,"K11",103.955070,30.582927
,38,"K10",103.955505,30.582770
,39,"K32",103.953451,30.582472
,40,"K16",103.953902,30.581494
,41,"K13",103.955185,30.581024
,42,"K15",103.954366,30.581324
,43,"K14",103.954792,30.581168
,44,"K20",103.953181,30.580510
,45,"K17",103.954622,30.580012
,46,"K19",103.953758,30.580311
,47,"K18",103.954232,30.580147
,48,"K33",103.952207,30.579731
,49,"K24",103.953283,30.579052
,50,"K22",103.954149,30.578749
,51,"K23",103.953767,30.578882
,52,"K28",103.951085,30.578480
,53,"K27",103.951813,30.578222
,54,"K31",103.950301,30.577397
,55,"K30",103.950822,30.577187
,56,"K305",103.949903,30.576466
,57,"K304",103.950373,30.576286
,58,"K308",103.949618,30.575190
,59,"K307",103.950338,30.574949
,60,"K311",103.948970,30.574197
,61,"K310",103.949880,30.573859
,62,"K315",103.948626,30.573200
,63,"K314",103.949315,30.572973
,64,"K320",103.948065,30.572404
,65,"K317",103.949220,30.572014
,66,"K319",103.948481,30.572264
,67,"K318",103.948865,30.572134
,68,"K325",103.947736,30.571757
,69,"K322",103.948945,30.571351
,70,"K324",103.948149,30.571618
,71,"K323",103.948544,30.571486
,72,"K330",103.947449,30.571101
,73,"K327",103.948651,30.570697
,74,"K329",103.947844,30.570969
,75,"K328",103.948248,30.570833
,76,"K336",103.947007,30.570438
,77,"K333",103.948221,30.570026
,78,"K335",103.947398,30.570307
,79,"K334",103.947791,30.570171
,80,"K340",103.947118,30.569352
,81,"K338",103.948280,30.568967
,82,"K339",103.947691,30.569163
,83,"K501",103.945511,30.563977
,84,"K503",103.946782,30.563552
,85,"K502",103.946108,30.563777
,86,"K416",103.945694,30.566114
,87,"K413",103.947878,30.565316
,88,"K415B",103.946266,30.565905
,89,"K415",103.946688,30.565751
,90,"K414",103.947260,30.565542
,91,"K412",103.946105,30.566946
,92,"K411",103.946640,30.566750
,93,"K410",103.947098,30.566584
,94,"K409",103.947492,30.566441
,95,"K408",103.947921,30.566284
,96,"K406",103.946703,30.568352
,97,"K403",103.948476,30.567752
,98,"K405",103.947386,30.568119
,99,"K404",103.947962,30.567926
