"FID_","ID","NAME","X","Y"
,1,"1",87.477089,43.901992
,2,"2",87.476821,43.902453
,3,"3",87.476484,43.903167
,4,"100",87.475659,43.903385
,5,"99",87.475154,43.903178
,6,"101",87.478586,43.902620
,7,"105",87.478075,43.903703
,8,"106",87.478795,43.903863
,9,"107",87.479358,43.903997
,10,"108",87.480029,43.904188
,11,"104",87.480373,43.903066
,12,"103",87.479779,43.902910
,13,"102",87.479146,43.902768
,14,"25",87.465506,43.898893
,15,"28",87.464825,43.898911
,16,"29",87.464141,43.898928
,17,"30",87.463441,43.898899
,18,"31",87.462713,43.898881
,19,"32",87.465602,43.897498
,20,"34",87.465063,43.897514
,21,"38",87.464517,43.897503
,22,"40",87.463962,43.897514
,23,"42",87.463413,43.897514
,24,"44",87.462869,43.897526
,25,"46",87.462327,43.897520
,26,"47",87.462397,43.896912
,27,"45",87.462460,43.896414
,28,"43",87.462872,43.895879
,29,"41",87.463743,43.895860
,30,"39",87.464723,43.895861
,31,"33",87.465481,43.895828
,32,"4",87.474600,43.903088
,33,"5",87.473703,43.902779
,34,"8",87.473084,43.902643
,35,"9",87.472374,43.902448
,36,"10",87.471669,43.902303
,37,"11",87.470972,43.902150
,38,"12",87.470195,43.901932
,39,"81",87.469881,43.903046
,40,"80",87.469613,43.902917
,41,"79",87.469312,43.902837
,42,"78",87.468895,43.902753
,43,"77",87.468418,43.902682
,44,"76",87.467967,43.902559
,45,"75",87.467481,43.902497
,46,"74",87.467019,43.902376
,47,"73",87.466545,43.902269
,48,"72",87.465915,43.902078
,49,"71",87.465425,43.902002
,50,"13",87.469303,43.901713
,51,"14",87.468493,43.901567
,52,"15",87.467618,43.901362
,53,"16",87.466906,43.901214
,54,"17",87.466187,43.901055
,55,"18",87.465480,43.900902
,56,"19",87.464719,43.900723
,57,"20",87.463829,43.900532
,58,"23",87.463029,43.900402
,59,"24",87.462258,43.900184
,60,"109",87.480831,43.904422
,61,"110",87.481514,43.904606
,62,"111",87.481992,43.904741
,63,"112",87.482368,43.904827
,64,"113",87.482739,43.904922
,65,"114",87.483118,43.905001
,66,"115",87.483491,43.905091
,67,"116",87.485051,43.904920
,68,"141",87.485796,43.906486
,69,"142",87.486250,43.906627
,70,"143",87.486702,43.906751
,71,"144",87.487173,43.906826
,72,"145",87.487638,43.906940
,73,"146",87.488095,43.907050
,74,"147",87.488544,43.907191
,75,"148",87.489029,43.907248
,76,"149",87.489484,43.907364
,77,"150",87.489949,43.907462
,78,"151",87.490413,43.907561
,79,"152",87.490882,43.907661
,80,"153",87.491348,43.907751
,81,"154",87.491810,43.907867
,82,"171",87.498490,43.907761
,83,"172",87.499382,43.907988
,84,"173",87.500275,43.908187
,85,"174",87.501090,43.908360
,86,"175",87.501833,43.908491
,87,"176",87.502570,43.908676
,88,"177",87.503300,43.908837
,89,"178",87.504048,43.908995
,90,"179",87.504775,43.909175
,91,"180",87.505512,43.909349
